iter	Passed	Remaining
0	16	1589
1	26	1319
2	40	1301
3	52	1269
4	64	1228
5	75	1189
6	87	1165
7	99	1145
8	110	1115
9	120	1083
10	131	1063
11	141	1036
12	152	1020
13	165	1016
14	175	992
15	185	972
16	196	960
17	207	947
18	219	937
19	230	922
20	240	906
21	251	891
22	262	877
23	271	860
24	283	851
25	293	836
26	305	825
27	318	819
28	332	813
29	345	805
30	354	789
31	366	778
32	376	763
33	387	751
34	399	741
35	411	731
36	421	718
37	433	707
38	444	696
39	454	682
40	465	670
41	479	662
42	493	653
43	506	644
44	521	637
45	536	629
46	549	619
47	562	609
48	576	600
49	590	590
50	600	576
51	613	566
52	626	555
53	640	545
54	652	533
55	663	521
56	677	510
57	690	500
58	705	490
59	718	479
60	728	465
61	746	457
62	761	447
63	775	436
64	788	424
65	801	413
66	812	400
67	824	388
68	837	376
69	851	365
70	861	352
71	875	340
72	888	328
73	901	316
74	911	303
75	925	292
76	940	280
77	952	268
78	965	256
79	977	244
80	993	232
81	1008	221
82	1023	209
83	1036	197
84	1049	185
85	1058	172
86	1072	160
87	1084	147
88	1096	135
89	1105	122
90	1118	110
91	1130	98
92	1139	85
93	1154	73
94	1167	61
95	1181	49
96	1194	36
97	1205	24
98	1216	12
99	1229	0
